NDIM=2  f16  154.6 GFLOP   (38 instances)
  [ 0]    3.859 ms    40.1 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<64, 64, 64, 32, Default, 16, 16, 4, 2, 1, 1, 1, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
  [ 1]    3.968 ms    39.0 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<64, 64, 64, 32, Default, 16, 16, 4, 2, 1, 1, 1, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
  [ 2]    5.994 ms    25.8 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<256, 128, 128, 32, Default, 16, 16, 4, 2, 1, 1, 8, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
  [ 3]    1.851 ms    83.6 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<64, 64, 64, 32, Default, 16, 16, 4, 2, 8, 8, 8, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
  [ 4]    2.810 ms    55.0 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<64, 64, 32, 32, Default, 16, 16, 4, 1, 8, 8, 8, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
  [ 5]   25.869 ms     6.0 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<256, 128, 256, 32, Default, 16, 16, 4, 4, 8, 8, 8, 1, 1, BlkGemmPipelineScheduler: Interwave, BlkGemmPipelineVersion: v1, 1>
  [ 6]    3.825 ms    40.4 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<256, 128, 128, 64, Default, 16, 16, 4, 2, 8, 8, 1, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
  [ 7]    2.862 ms    54.0 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<128, 128, 48, 64, Default, 16, 16, 2, 3, 8, 8, 8, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
  [ 8]    2.882 ms    53.6 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<128, 128, 48, 64, Default, 16, 16, 2, 3, 8, 8, 1, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
  [ 9]    2.909 ms    53.2 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<256, 64, 64, 64, Default, 16, 16, 2, 1, 8, 8, 1, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
  [10]    2.868 ms    53.9 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<256, 64, 64, 64, Default, 16, 16, 2, 1, 8, 8, 1, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
