NDIM=2  bf16  154.6 GFLOP   (38 instances)
  [24]    2.545 ms    60.7 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<256, 128, 96, 64, Default, 16, 16, 2, 3, 8, 8, 1, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
  [25]    1.960 ms    78.9 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<128, 128, 64, 32, Default, 16, 16, 4, 2, 8, 8, 1, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
  [26]    1.877 ms    82.4 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<128, 128, 64, 32, Default, 16, 16, 4, 2, 8, 8, 1, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
  [27]    1.881 ms    82.2 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<128, 128, 64, 32, Default, 16, 16, 4, 2, 8, 8, 8, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
  [28]    3.048 ms    50.7 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<128, 128, 32, 32, Default, 16, 16, 4, 1, 8, 8, 8, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
  [29]    3.000 ms    51.5 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<128, 128, 32, 32, Default, 16, 16, 4, 1, 8, 8, 1, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
  [30]    3.155 ms    49.0 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<128, 128, 32, 32, Default, 16, 16, 4, 1, 8, 8, 1, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
  [31]    2.034 ms    76.0 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<256, 256, 64, 64, Default, 16, 16, 4, 2, 8, 8, 1, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
  [32]    5.746 ms    26.9 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<256, 128, 256, 32, Default, 16, 16, 4, 4, 8, 8, 8, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
  [34]    3.368 ms    45.9 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<256, 128, 128, 32, Default, 16, 16, 4, 2, 8, 8, 8, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
  [35]    3.272 ms    47.3 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<128, 64, 128, 32, Default, 16, 16, 4, 2, 8, 8, 8, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
  [36]    5.374 ms    28.8 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<256, 64, 64, 32, Default, 16, 16, 1, 2, 1, 2, 1, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
  [37]    2.798 ms    55.3 TFLOP/s  DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<256, 64, 64, 32, Default, 16, 16, 1, 2, 8, 8, 8, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
BEST: 1.808 ms  85.5 TFLOP/s   DeviceGroupedConvFwdMultipleABD_Wmma_CShuffle_V3<64, 64, 64, 32, Default, 16, 16, 4, 2, 8, 8, 8, 1, 1, BlkGemmPipelineScheduler: Intrawave, BlkGemmPipelineVersion: v1, 1>
